,Time,Open,High,Low,Close,Volume
796,2021-01-23 01:00:00,32950,33456,31390.16,32078,64595.287675
797,2021-01-24 01:00:00,32078,33071,30900,32259.9,57978.037966
798,2021-01-25 01:00:00,32259.45,34875,31910,32254.2,88499.226921
799,2021-01-26 01:00:00,32254.19,32921.88,30837.37,32467.77,84972.20691
800,2021-01-27 01:00:00,32464.01,32557.29,29241.72,30366.15,95911.961711
801,2021-01-28 01:00:00,30362.19,33783.98,29842.1,33364.86,92621.145617
802,2021-01-29 01:00:00,33368.18,38531.9,31915.4,34252.2,231827.005626
803,2021-01-30 01:00:00,34246.28,34933,32825,34262.88,84889.68134
804,2021-01-31 01:00:00,34262.89,34342.69,32171.67,33092.98,68742.280384
805,2021-02-01 01:00:00,33092.97,34717.27,32296.16,33526.37,82718.276882
806,2021-02-02 01:00:00,33517.09,35984.33,33418,35466.24,78056.65988
807,2021-02-03 01:00:00,35472.71,37662.63,35362.38,37618.87,80784.333663
808,2021-02-04 01:00:00,37620.26,38708.27,36161.95,36936.66,92080.735898
809,2021-02-05 01:00:00,36936.65,38310.12,36570,38290.24,66681.334275
810,2021-02-06 01:00:00,38289.32,40955.51,38215.94,39186.94,98757.311183
811,2021-02-07 01:00:00,39181.01,39700,37351,38795.69,84363.679763
812,2021-02-08 01:00:00,38795.69,46794.45,37988.89,46374.87,138597.536914
813,2021-02-09 01:00:00,46374.86,48142.19,44961.09,46420.42,115499.861712
814,2021-02-10 01:00:00,46420.42,47310,43727,44807.58,97154.1822
815,2021-02-11 01:00:00,44807.58,48678.9,43994.02,47969.51,89561.081454
816,2021-02-12 01:00:00,47968.66,48985.8,46125,47287.6,85870.035697
817,2021-02-13 01:00:00,47298.15,48150,46202.53,47153.69,63768.097399
818,2021-02-14 01:00:00,47156.78,49707.43,47014.17,48577.79,73735.475533
819,2021-02-15 01:00:00,48580.47,49010.92,45570.79,47911.1,79398.156784
820,2021-02-16 01:00:00,47911.1,50689.18,47003.62,49133.45,88813.266298
821,2021-02-17 01:00:00,49133.45,52618.74,48947,52119.71,85743.637818
822,2021-02-18 01:00:00,52117.67,52530,50901.9,51552.6,60758.046954
823,2021-02-19 01:00:00,51552.61,56368,50710.2,55906,79659.77802
824,2021-02-20 01:00:00,55906,57700.46,53863.93,55841.19,80948.205314
825,2021-02-21 01:00:00,55841.19,58352.8,55477.59,57408.57,58166.708511
826,2021-02-22 01:00:00,57412.35,57508.47,47622,54087.67,134019.434944
827,2021-02-23 01:00:00,54087.67,54183.59,44892.56,48891,169375.025051
828,2021-02-24 01:00:00,48891,51374.99,46988.69,49676.2,91881.209252
829,2021-02-25 01:00:00,49676.21,52041.73,46674.34,47073.73,83310.673121
830,2021-02-26 01:00:00,47073.73,48424.11,44106.78,46276.87,109423.200663
831,2021-02-27 01:00:00,46276.88,48394,45000,46106.43,66060.834292
832,2021-02-28 01:00:00,46103.67,46638.46,43000,45135.66,83055.369042
833,2021-03-01 01:00:00,45134.11,49790,44950.53,49587.03,85086.111648
834,2021-03-02 01:00:00,49595.76,50200,47047.6,48440.65,64221.06214
835,2021-03-03 01:00:00,48436.61,52640,48100.71,50349.37,81035.913705
836,2021-03-04 01:00:00,50349.37,51773.88,47500,48374.09,82649.716829
837,2021-03-05 01:00:00,48374.09,49448.93,46300,48751.71,78192.496372
838,2021-03-06 01:00:00,48746.81,49200,47070,48882.2,44399.234242
839,2021-03-07 01:00:00,48882.2,51450.03,48882.2,50971.75,55235.028032
840,2021-03-08 01:00:00,50959.11,52402.78,49274.67,52375.17,66987.359664
841,2021-03-09 01:00:00,52375.18,54895,51789.41,54884.5,71656.737076
842,2021-03-10 01:00:00,54874.67,57387.69,53005,55851.59,84749.238943
843,2021-03-11 01:00:00,55851.59,58150,54272.82,57773.16,81914.812859
844,2021-03-12 01:00:00,57773.15,58081.51,54962.84,57221.72,73405.406047
845,2021-03-13 01:00:00,57221.72,61844,56078.23,61188.39,83245.091346
846,2021-03-14 01:00:00,61188.38,61724.79,58966.78,58968.31,52601.05275
847,2021-03-15 01:00:00,58976.08,60633.43,54600,55605.2,102771.427298
848,2021-03-16 01:00:00,55605.2,56938.29,53271.34,56900.75,77986.694355
849,2021-03-17 01:00:00,56900.74,58974.73,54123.69,58912.97,70421.620841
850,2021-03-18 01:00:00,58912.97,60129.97,57023,57648.16,66580.406675
851,2021-03-19 01:00:00,57641,59468,56270.74,58030.01,52392.652961
852,2021-03-20 01:00:00,58030.01,59880,57820.17,58102.28,44476.941776
853,2021-03-21 01:00:00,58100.02,58589.1,55450.11,57351.56,48564.470274
854,2021-03-22 01:00:00,57351.56,58430.73,53650,54083.25,62581.626169
855,2021-03-23 01:00:00,54083.25,55830.9,53000,54340.89,59789.365427
856,2021-03-24 01:00:00,54342.8,57200,51700,52303.65,83537.465021
857,2021-03-25 01:00:00,52303.66,53287,50427.56,51293.78,87400.534538
858,2021-03-26 01:00:00,51293.78,55073.46,51214.6,55025.59,63813.774692
859,2021-03-27 01:00:00,55025.59,56700.36,53950,55817.14,50105.475055
860,2021-03-28 01:00:00,55817.14,56559.75,54691.84,55777.63,39050.387511
861,2021-03-29 02:00:00,55777.65,58405.82,54800.01,57635.47,67857.937398
862,2021-03-30 02:00:00,57635.46,59368,57071.35,58746.57,55122.443122
863,2021-03-31 02:00:00,58746.57,59800,56769,58740.55,60975.542666
864,2021-04-01 02:00:00,58739.46,59490,57935.45,58720.44,47415.61722
865,2021-04-02 02:00:00,58720.45,60200,58428.57,58950.01,47382.418781
866,2021-04-03 02:00:00,58950.01,59791.72,56880,57051.94,47409.852113
867,2021-04-04 02:00:00,57051.95,58492.85,56388,58202.01,41314.081973
868,2021-04-05 02:00:00,58202.01,59272,56777.77,59129.99,54258.01579
869,2021-04-06 02:00:00,59129.99,59495.24,57413.02,57991.15,54201.000727
870,2021-04-07 02:00:00,57990.03,58655,55473,55953.45,71228.405659
871,2021-04-08 02:00:00,55953.44,58153.31,55700,58077.52,44283.147019
872,2021-04-09 02:00:00,58077.52,58894.9,57654,58142.54,40831.884911
873,2021-04-10 02:00:00,58142.55,61500,57900.01,59769.13,69906.424117
874,2021-04-11 02:00:00,59769.13,60699,59232.52,60002.43,41156.715391
875,2021-04-12 02:00:00,59998.8,61300,59350.59,59860,56375.037117
876,2021-04-13 02:00:00,59860.01,63777.77,59805.15,63575,82848.688746
877,2021-04-14 02:00:00,63575.01,64854,61301,62959.53,82616.343993
878,2021-04-15 02:00:00,62959.53,63800,62020,63159.98,51649.70034
879,2021-04-16 02:00:00,63158.74,63520.61,60000,61334.8,91764.139884
880,2021-04-17 02:00:00,61334.81,62506.05,59580.91,60006.66,58912.256128
881,2021-04-18 02:00:00,60006.67,60499,50931.3,56150.01,124882.131824
882,2021-04-19 02:00:00,56150.01,57526.81,54221.58,55633.14,78229.042267
883,2021-04-20 02:00:00,55633.14,57076.24,53329.96,56425,72744.482151
884,2021-04-21 02:00:00,56425,56757.91,53536.02,53787.63,66984.756909
885,2021-04-22 02:00:00,53787.62,55521.48,50500,51690.96,104656.631337
886,2021-04-23 02:00:00,51690.95,52131.85,47500,51125.14,132230.780719
887,2021-04-24 02:00:00,51110.56,51166.22,48657.14,50047.84,55361.512573
888,2021-04-25 02:00:00,50047.84,50567.91,46930,49066.77,58255.645004
889,2021-04-26 02:00:00,49066.76,54356.62,48753.44,54001.39,86310.802124
890,2021-04-27 02:00:00,54001.38,55460,53222,55011.97,54064.034675
891,2021-04-28 02:00:00,55011.97,56428,53813.16,54846.22,55130.459015
892,2021-04-29 02:00:00,54846.23,55195.84,52330.94,53555,52486.019455
893,2021-04-30 02:00:00,53555,57963,53013.01,57694.27,68578.910045
894,2021-05-01 02:00:00,57697.25,58458.07,56956.14,57800.37,42600.351836
895,2021-05-02 02:00:00,57797.35,57911.02,56035.25,56578.21,36812.878863
896,2021-05-03 02:00:00,56578.21,58981.44,56435,57169.39,57649.931286
897,2021-05-04 02:00:00,57169.39,57200,53046.69,53200.01,85324.625903
898,2021-05-05 02:00:00,53205.05,58069.82,52900,57436.11,77263.923439
899,2021-05-06 02:00:00,57436.11,58360,55200,56393.68,70181.671908
900,2021-05-07 02:00:00,56393.68,58650,55241.63,57314.75,74542.747829
901,2021-05-08 02:00:00,57315.49,59500,56900,58862.05,69709.906028
902,2021-05-09 02:00:00,58866.53,59300,56235.66,58240.84,69806.11991
903,2021-05-10 02:00:00,58240.83,59500,53400,55816.14,89586.34925
904,2021-05-11 02:00:00,55816.14,56862.43,54370,56670.02,64329.54055
905,2021-05-12 02:00:00,56670.02,58000.01,48600,49631.32,99842.789836
906,2021-05-13 02:00:00,49537.15,51367.19,46000,49670.97,147332.002121
907,2021-05-14 02:00:00,49671.92,51483,48799.75,49841.45,80082.204306
908,2021-05-15 02:00:00,49844.16,50700,46555,46762.99,89437.449359
909,2021-05-16 02:00:00,46762.99,49795.89,43825.39,46431.5,114269.812775
910,2021-05-17 02:00:00,46426.83,46686,42001,43538.04,166657.172736
911,2021-05-18 02:00:00,43538.02,45799.29,42250.02,42849.78,116979.860784
912,2021-05-19 02:00:00,42849.78,43584.9,30000,36690.09,354347.243161
913,2021-05-20 02:00:00,36671.23,42451.67,34850,40526.64,203017.596923
914,2021-05-21 02:00:00,40525.39,42200,33488,37252.01,202100.888258
915,2021-05-22 02:00:00,37263.35,38829,35200.62,37449.73,126542.243689
916,2021-05-23 02:00:00,37458.51,38270.64,31111.01,34655.25,217136.046593
917,2021-05-24 02:00:00,34681.44,39920,34031,38796.29,161630.893971
918,2021-05-25 02:00:00,38810.99,39791.77,36419.62,38324.72,111996.228404
919,2021-05-26 02:00:00,38324.72,40841,37800.44,39241.91,104780.773396
920,2021-05-27 02:00:00,39241.92,40411.14,37134.27,38529.98,86547.158794
921,2021-05-28 02:00:00,38529.99,38877.83,34684,35663.49,135377.62972
922,2021-05-29 02:00:00,35661.79,37338.58,33632.76,34605.15,112663.092689
923,2021-05-30 02:00:00,34605.15,36488,33379,35641.27,73535.386967
924,2021-05-31 02:00:00,35641.26,37499,34153.84,37253.81,94160.735289
925,2021-06-01 02:00:00,37253.82,37894.81,35666,36693.09,81234.66377
926,2021-06-02 02:00:00,36694.85,38225,35920,37568.68,67587.372495
927,2021-06-03 02:00:00,37568.68,39476,37170,39246.79,75889.106011
928,2021-06-04 02:00:00,39246.78,39289.07,35555.15,36829,91317.799245
929,2021-06-05 02:00:00,36829.15,37925,34800,35513.2,70459.62149
930,2021-06-06 02:00:00,35516.07,36480,35222,35796.31,47650.206637
